Report Date,Projected Year,Percent,Participants
16/3/2022,2021,2.125,0
16/3/2022,2021,2.25,0
16/3/2022,2021,2.375,0
16/3/2022,2021,2.5,0
16/3/2022,2021,2.625,0
16/3/2022,2021,2.75,0
16/3/2022,2021,2.875,0
16/3/2022,2021,3,0
16/3/2022,2021,3.125,0
16/3/2022,2021,3.25,0
16/3/2022,2021,3.375,0
16/3/2022,2021,3.5,0
16/3/2022,2021,3.625,0
16/3/2022,2021,3.75,0
16/3/2022,2021,3.875,0
16/3/2022,2021,4,0
16/3/2022,2022,0.125,0
16/3/2022,2022,0.25,0
16/3/2022,2022,0.375,0
16/3/2022,2022,0.5,0
16/3/2022,2022,0.625,0
16/3/2022,2022,0.75,0
16/3/2022,2022,0.875,0
16/3/2022,2022,1,0
16/3/2022,2022,1.125,0
16/3/2022,2022,1.25,0
16/3/2022,2022,1.375,1
16/3/2022,2022,1.5,0
16/3/2022,2022,1.625,3
16/3/2022,2022,1.75,0
16/3/2022,2022,1.875,5
16/3/2022,2022,2,0
16/3/2022,2022,2.125,2
16/3/2022,2022,2.25,0
16/3/2022,2022,2.375,3
16/3/2022,2022,2.5,0
16/3/2022,2022,2.625,1
16/3/2022,2022,2.75,0
16/3/2022,2022,2.875,0
16/3/2022,2022,3,0
16/3/2022,2022,3.125,1
16/3/2022,2022,3.25,0
16/3/2022,2022,3.375,0
16/3/2022,2022,3.5,0
16/3/2022,2022,3.625,0
16/3/2022,2022,3.75,0
16/3/2022,2022,3.875,0
16/3/2022,2022,4,0
16/3/2022,2023,0.125,0
16/3/2022,2023,0.25,0
16/3/2022,2023,0.375,0
16/3/2022,2023,0.5,0
16/3/2022,2023,0.625,0
16/3/2022,2023,0.75,0
16/3/2022,2023,0.875,0
16/3/2022,2023,1,0
16/3/2022,2023,1.125,0
16/3/2022,2023,1.25,0
16/3/2022,2023,1.375,0
16/3/2022,2023,1.5,0
16/3/2022,2023,1.625,0
16/3/2022,2023,1.75,0
16/3/2022,2023,1.875,0
16/3/2022,2023,2,0
16/3/2022,2023,2.125,1
16/3/2022,2023,2.25,0
16/3/2022,2023,2.375,4
16/3/2022,2023,2.5,0
16/3/2022,2023,2.625,3
16/3/2022,2023,2.75,0
16/3/2022,2023,2.875,3
16/3/2022,2023,3,0
16/3/2022,2023,3.125,2
16/3/2022,2023,3.25,0
16/3/2022,2023,3.375,1
16/3/2022,2023,3.5,0
16/3/2022,2023,3.625,2
16/3/2022,2023,3.75,0
16/3/2022,2023,3.875,0
16/3/2022,2023,4,0
16/3/2022,2024,0.125,0
16/3/2022,2024,0.25,0
16/3/2022,2024,0.375,0
16/3/2022,2024,0.5,0
16/3/2022,2024,0.625,0
16/3/2022,2024,0.75,0
16/3/2022,2024,0.875,0
16/3/2022,2024,1,0
16/3/2022,2024,1.125,0
16/3/2022,2024,1.25,0
16/3/2022,2024,1.375,0
16/3/2022,2024,1.5,0
16/3/2022,2024,1.625,0
16/3/2022,2024,1.75,0
16/3/2022,2024,1.875,0
16/3/2022,2024,2,0
16/3/2022,2024,2.125,2
16/3/2022,2024,2.25,1
16/3/2022,2024,2.375,3
16/3/2022,2024,2.5,0
16/3/2022,2024,2.625,2
16/3/2022,2024,2.75,0
16/3/2022,2024,2.875,3
16/3/2022,2024,3,0
16/3/2022,2024,3.125,1
16/3/2022,2024,3.25,0
16/3/2022,2024,3.375,2
16/3/2022,2024,3.5,0
16/3/2022,2024,3.625,2
16/3/2022,2024,3.75,0
16/3/2022,2024,3.875,0
16/3/2022,2024,4,0
16/3/2022,LR,0.125,0
16/3/2022,LR,0.25,0
16/3/2022,LR,0.375,0
16/3/2022,LR,0.5,0
16/3/2022,LR,0.625,0
16/3/2022,LR,0.75,0
16/3/2022,LR,0.875,0
16/3/2022,LR,1,0
16/3/2022,LR,1.125,0
16/3/2022,LR,1.25,0
16/3/2022,LR,1.375,0
16/3/2022,LR,1.5,0
16/3/2022,LR,1.625,0
16/3/2022,LR,1.75,0
16/3/2022,LR,1.875,0
16/3/2022,LR,2,1
16/3/2022,LR,2.125,0
16/3/2022,LR,2.25,6
16/3/2022,LR,2.375,1
16/3/2022,LR,2.5,5
16/3/2022,LR,2.625,0
16/3/2022,LR,2.75,0
16/3/2022,LR,2.875,0
16/3/2022,LR,3,2
16/3/2022,LR,3.125,0
16/3/2022,LR,3.25,0
16/3/2022,LR,3.375,0
16/3/2022,LR,3.5,0
16/3/2022,LR,3.625,0
16/3/2022,LR,3.75,0
16/3/2022,LR,3.875,0
16/3/2022,LR,4,0
15/12/2021,2016,0.125,0
15/12/2021,2016,0.25,0
15/12/2021,2016,0.375,0
15/12/2021,2016,0.5,0
15/12/2021,2016,0.625,0
15/12/2021,2016,0.75,0
15/12/2021,2016,0.875,0
15/12/2021,2016,1,0
15/12/2021,2016,1.125,0
15/12/2021,2016,1.25,0
15/12/2021,2016,1.375,0
15/12/2021,2016,1.5,0
15/12/2021,2016,1.625,0
15/12/2021,2016,1.75,0
15/12/2021,2016,1.875,0
15/12/2021,2016,2,0
15/12/2021,2016,2.125,0
15/12/2021,2016,2.25,0
15/12/2021,2016,2.375,0
15/12/2021,2016,2.5,0
15/12/2021,2016,2.625,0
15/12/2021,2016,2.75,0
15/12/2021,2016,2.875,0
15/12/2021,2016,3,0
15/12/2021,2016,3.125,0
15/12/2021,2016,3.25,0
15/12/2021,2016,3.375,0
15/12/2021,2016,3.5,0
15/12/2021,2016,3.625,0
15/12/2021,2016,3.75,0
15/12/2021,2016,3.875,0
15/12/2021,2016,4,0
15/12/2021,2017,0.125,0
15/12/2021,2017,0.25,0
15/12/2021,2017,0.375,0
15/12/2021,2017,0.5,0
15/12/2021,2017,0.625,0
15/12/2021,2017,0.75,0
15/12/2021,2017,0.875,0
15/12/2021,2017,1,0
15/12/2021,2017,1.125,0
15/12/2021,2017,1.25,0
15/12/2021,2017,1.375,0
15/12/2021,2017,1.5,0
15/12/2021,2017,1.625,0
15/12/2021,2017,1.75,0
15/12/2021,2017,1.875,0
15/12/2021,2017,2,0
15/12/2021,2017,2.125,0
15/12/2021,2017,2.25,0
15/12/2021,2017,2.375,0
15/12/2021,2017,2.5,0
15/12/2021,2017,2.625,0
15/12/2021,2017,2.75,0
15/12/2021,2017,2.875,0
15/12/2021,2017,3,0
15/12/2021,2017,3.125,0
15/12/2021,2017,3.25,0
15/12/2021,2017,3.375,0
15/12/2021,2017,3.5,0
15/12/2021,2017,3.625,0
15/12/2021,2017,3.75,0
